Abkhazian	abk	ab		
Achinese	ace			
Acoli	ach			
Adangme	ada			
Adygei	ady			
Adyghe	ady			
Afar	aar	aa		
Afrihili	afh			
Afrikaans	afr	af		
Afro-Asiatic languages	afa			
Ainu	ain			
Akan	aka	ak		
Akkadian	akk			
Albanian	alb/sqi	sq		
Alemannic	gsw			
Aleut	ale			
Algonquian languages	alg			
Alsatian	gsw			
Altaic languages	tut			
Amharic	amh	am		
Angika	anp			
Apache languages	apa			
Arabic	ara	ar		
Aragonese	arg	an		
Arapaho	arp			
Arawak	arw			
Armenian	arm/hye	hy		
Aromanian	rup			
Artificial languages	art			
Arumanian	rup			
Assamese	asm	as		
Asturian	ast			
Asturleonese	ast			
Athapascan languages	ath			
Australian languages	aus			
Austronesian languages	map			
Avaric	ava	av		
Avestan	ave	ae		
Awadhi	awa			
Aymara	aym	ay		
Azerbaijani	aze	az		
Bable	ast			
Balinese	ban			
Baltic languages	bat			
Baluchi	bal			
Bambara	bam	bm		
Bamileke languages	bai			
Banda languages	bad			
Bantu languages	bnt			
Basa	bas			
Bashkir	bak	ba		
Basque	baq/eus	eu		
Batak languages	btk			
Bedawiyet	bej			
Beja	bej			
Belarusian	bel	be		
Bemba	bem			
Bengali	ben	bn		
Berber languages	ber			
Bhojpuri	bho			
Bihari languages	bih	bh		
Bikol	bik			
Bilin	byn			
Bini	bin			
Bislama	bis	bi		
Blin	byn			
Bliss	zbl			
Blissymbolics	zbl			
Blissymbols	zbl			
"Bokmål, Norwegian"	nob	nb		
Bosnian	bos	bs		
Braj	bra			
Breton	bre	br		
Buginese	bug			
Bulgarian	bul	bg		
Buriat	bua			
Burmese	bur/mya	my		
Caddo	cad			
Castilian	spa	es		
Catalan	cat	ca		
Caucasian languages	cau			
Cebuano	ceb			
Celtic languages	cel			
Central American Indian languages	cai			
Central Khmer	khm	km		
Chagatai	chg			
Chamic languages	cmc			
Chamorro	cha	ch		
Chechen	che	ce		
Cherokee	chr			
Chewa	nya	ny		
Cheyenne	chy			
Chibcha	chb			
Chichewa	nya	ny		
Chinese	chi/zho	zh		
Chinook jargon	chn			
Chipewyan	chp			
Choctaw	cho			
Chuang	zha	za		
Church Slavic	chu	cu		
Church Slavonic	chu	cu		
Chuukese	chk			
Chuvash	chv	cv		
Classical Nepal Bhasa	nwc			
Classical Newari	nwc			
Classical Syriac	syc			
Cook Islands Maori	rar			
Coptic	cop			
Cornish	cor	kw		
Corsican	cos	co		
Cree	cre	cr		
Creek	mus			
Creoles and pidgins	crp			
"Creoles and pidgins, English based"	cpe			
"Creoles and pidgins, French-based"	cpf			
"Creoles and pidgins, Portuguese-based"	cpp			
Crimean Tatar	crh			
Crimean Turkish	crh			
Croatian	hrv	hr		
Cushitic languages	cus			
Czech	cze/ces	cs		
Dakota	dak			
Danish	dan	da		
Dargwa	dar			
Delaware	del			
Dene Suline	chp			
Dhivehi	div	dv		
Dimili	zza			
Dimli	zza			
Dinka	din			
Divehi	div	dv		
Dogri	doi			
Dogrib	dgr			
Dravidian languages	dra			
Duala	dua			
Dutch	dut/nld	nl		
"Dutch, Middle (ca.1050-1350)"	dum			
Dyula	dyu			
Dzongkha	dzo	dz		
Eastern Frisian	frs			
Edo	bin			
Efik	efi			
Egyptian (Ancient)	egy			
Ekajuk	eka			
Elamite	elx			
English	eng	en		
"English, Middle (1100-1500)"	enm			
"English, Old (ca.450-1100)"	ang			
Erzya	myv			
Esperanto	epo	eo		
Estonian	est	et		
Ewe	ewe	ee		
Ewondo	ewo			
Fang	fan			
Fanti	fat			
Faroese	fao	fo		
Fijian	fij	fj		
Filipino	fil			
Finnish	fin	fi		
Finno-Ugrian languages	fiu			
Flemish	dut/nld	nl		
Fon	fon			
French	fre/fra	fr		
"French, Middle (ca.1400-1600)"	frm			
"French, Old (842-ca.1400)"	fro			
Friulian	fur			
Fulah	ful	ff		
Ga	gaa			
Gaelic	gla	gd		
Galibi Carib	car			
Galician	glg	gl		
Ganda	lug	lg		
Gayo	gay			
Gbaya	gba			
Geez	gez			
Georgian	geo/kat	ka		
German	ger/deu	de		
"German, Low"	nds			
"German, Middle High (ca.1050-1500)"	gmh			
"German, Old High (ca.750-1050)"	goh			
Germanic languages	gem			
Gikuyu	kik	ki		
Gilbertese	gil			
Gondi	gon			
Gorontalo	gor			
Gothic	got			
Grebo	grb			
"Greek, Ancient (to 1453)"	grc			
"Greek, Modern (1453-)"	gre/ell	el		
Greenlandic	kal	kl		
Guarani	grn	gn		
Gujarati	guj	gu		
Gwich'in	gwi			
Haida	hai			
Haitian	hat	ht		
Haitian Creole	hat	ht		
Hausa	hau	ha		
Hawaiian	haw			
Hebrew	heb	he		
Herero	her	hz		
Hiligaynon	hil			
Himachali languages	him			
Hindi	hin	hi		
Hiri Motu	hmo	ho		
Hittite	hit			
Hmong	hmn			
Hungarian	hun	hu		
Hupa	hup			
Iban	iba			
Icelandic	ice/isl	is		
Ido	ido	io		
Igbo	ibo	ig		
Ijo languages	ijo			
Iloko	ilo			
Imperial Aramaic (700-300 BCE)	arc			
Inari Sami	smn			
Indic languages	inc			
Indo-European languages	ine			
Indonesian	ind	id		
Ingush	inh			
Interlingua (International Auxiliary Language Association)	ina	ia		
Interlingue	ile	ie		
Inuktitut	iku	iu		
Inupiaq	ipk	ik		
Iranian languages	ira			
Irish	gle	ga		
"Irish, Middle (900-1200)"	mga			
"Irish, Old (to 900)"	sga			
Iroquoian languages	iro			
Italian	ita	it		
Japanese	jpn	ja		
Javanese	jav	jv		
Jingpho	kac			
Judeo-Arabic	jrb			
Judeo-Persian	jpr			
Kabardian	kbd			
Kabyle	kab			
Kachin	kac			
Kalaallisut	kal	kl		
Kalmyk	xal			
Kamba	kam			
Kannada	kan	kn		
Kanuri	kau	kr		
Kapampangan	pam			
Kara-Kalpak	kaa			
Karachay-Balkar	krc			
Karelian	krl			
Karen languages	kar			
Kashmiri	kas	ks		
Kashubian	csb			
Kawi	kaw			
Kazakh	kaz	kk		
Khasi	kha			
Khoisan languages	khi			
Khotanese	kho			
Kikuyu	kik	ki		
Kimbundu	kmb			
Kinyarwanda	kin	rw		
Kirdki	zza			
Kirghiz	kir	ky		
Kirmanjki	zza			
Klingon	tlh			
Komi	kom	kv		
Kongo	kon	kg		
Konkani	kok			
Korean	kor	ko		
Kosraean	kos			
Kpelle	kpe			
Kru languages	kro			
Kuanyama	kua	kj		
Kumyk	kum			
Kurdish	kur	ku		
Kurukh	kru			
Kutenai	kut			
Kwanyama	kua	kj		
Kyrgyz	kir	ky		
Ladino	lad			
Lahnda	lah			
Lamba	lam			
Land Dayak languages	day			
Lao	lao	lo		
Latin	lat	la		
Latvian	lav	lv		
Leonese	ast			
Letzeburgesch	ltz	lb		
Lezghian	lez			
Limburgan	lim	li		
Limburger	lim	li		
Limburgish	lim	li		
Lingala	lin	ln		
Lithuanian	lit	lt		
Lojban	jbo			
Low German	nds			
Low Saxon	nds			
Lower Sorbian	dsb			
Lozi	loz			
Luba-Katanga	lub	lu		
Luba-Lulua	lua			
Luiseno	lui			
Lule Sami	smj			
